transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantiy,prce,payment_mode,purchase_date,time_of_purchase,status
TXN265538,CUST3119,Zain Sura,34,F,P6759,Novel,Books,1,239,CC,20/02/2023,0:51:59,returned
TXN181275,CUST5097,Nitya Sahota,48,Female,P9055,Wheat,Groceries,5,24905,Cash,31/12/2023,0:15:51,pending
TXN775886,CUST2867,Renee Biswas,29,Female,P2377,Laptop,Electronics,5,2685,UPI,31/07/2023,18:39:02,pending
TXN515425,CUST5569,Seher Hegde,46,Female,P2186,Laptop,Electronics,2,2100,UPI,14/02/2023,4:14:00,returned
TXN271895,CUST7105,Badal Ratti,41,F,P8891,Jeans,Clothing,5,16180,UPI,12/08/2023,9:26:00,pending
TXN318614,CUST6937,Jayan Vora,54,Female,P5186,Milk,Groceries,1,377,Credit Card,07/03/2023,13:02:36,pending
TXN300651,CUST2450,Rhea Rastogi,18,M,P9618,Headphones,Electronics,5,22960,Debit Card,02/12/2023,10:34:37,pending
TXN458171,CUST8656,Yasmin Ravel,24,M,P1567,Notebook,Books,5,21145,Credit Card,14/03/2023,3:47:46,cancelled
TXN180691,CUST2909,Rati Kamdar,33,Male,P7528,Belt,Accessories,4,18560,CC,16/05/2023,1:00:24,pending
TXN452256,CUST6214,Kiaan Hari,43,Male,P3693,Belt,Accessories,4,9720,CC,11/11/2023,19:08:44,pending
TXN314180,CUST7277,Onkar Sachdeva,37,Male,P9880,Smartphone,Electronics,1,3814,UPI,30/07/2023,17:48:47,cancelled
TXN194279,CUST7979,Hrishita Hora,47,Female,P6444,Vegetables,Groceries,4,19284,Cash,21/04/2023,23:13:50,cancelled
TXN464747,CUST5235,Madhup Biswas,58,F,P4436,Fruits,Groceries,3,11049,Credit Card,03/10/2023,6:51:30,returned
TXN528961,CUST9245,Aarna Sibal,57,F,P8275,Bed,Furniture,4,13428,CC,07/11/2023,18:44:56,delivered
TXN342128,CUST1214,Nehmat Batta,39,Male,P1286,Sweater,Clothing,3,1284,Cash,24/08/2023,20:05:11,returned
TXN736964,CUST6122,Inaaya  Samra,58,M,P4298,Handbag,Accessories,4,14864,Debit Card,03/08/2023,2:09:50,pending
TXN626086,CUST5556,Mehul Rajagopal,33,M,P3014,Textbook,Books,1,3633,EMI,19/05/2023,0:40:50,cancelled
TXN423065,CUST6122,Inaaya  Samra,58,M,P8909,Comics,Books,2,4402,EMI,17/08/2023,21:31:03,returned
TXN323575,CUST1818,Kismat Kamdar,52,Male,P6568,Sunglasses,Accessories,3,8580,UPI,24/01/2023,7:11:33,cancelled
TXN180036,CUST1937,Rania Varghese,24,F,P8731,Smartwatch,Electronics,5,3485,CC,06/05/2023,4:00:23,pending
TXN420255,CUST9725,Dhanush Salvi,30,M,P3185,Novel,Books,2,4766,Cash,01/11/2023,11:58:24,cancelled
TXN380813,CUST5276,Indrajit Vaidya,53,F,P1850,Handbag,Accessories,2,3782,Debit Card,19/09/2023,11:19:20,returned
TXN585568,CUST8622,Anya Bal,51,M,P2281,Wallet,Accessories,4,15512,UPI,31/07/2023,8:05:19,returned
TXN713879,CUST2300,Jiya Sahota,34,Male,P8036,Milk,Groceries,1,1081,EMI,17/12/2023,12:07:10,pending
TXN380946,CUST1622,Rati Jayaraman,35,M,P3786,Sunglasses,Accessories,5,9145,Credit Card,16/10/2023,13:41:52,cancelled
TXN156583,CUST4869,Indranil Mander,31,M,P9591,Chair,Furniture,5,5845,CC,04/07/2023,18:35:35,cancelled
TXN734236,CUST8622,Anya Bal,51,M,P4712,Headphones,Electronics,1,2288,Credit Card,19/01/2023,8:59:32,pending
TXN342128,CUST1214,Nehmat Batta,39,Male,P1286,Sweater,Clothing,3,1284,Cash,24/08/2023,20:05:11,returned
TXN465438,CUST7367,Anaya Talwar,51,Male,P1770,Sunglasses,Accessories,5,21980,Cash,19/05/2023,19:11:57,cancelled
TXN994697,CUST7766,Zain Lad,19,F,P7945,Jacket,Clothing,1,2895,Debit Card,02/11/2023,14:24:16,pending
TXN448186,CUST8934,Aayush Kara,37,M,P8527,T-Shirt,Clothing,4,14892,UPI,04/04/2023,22:39:13,cancelled
TXN570243,CUST5078,Aayush Chanda,60,M,P9868,Fruits,Groceries,5,14135,EMI,29/10/2023,1:12:18,delivered
TXN350580,CUST3890,Shalv Sen,56,F,P8436,Rice,Groceries,3,4134,EMI,22/06/2023,1:19:41,returned
TXN804266,CUST1442,Adira Desai,24,Female,P9144,Rice,Groceries,4,5400,Debit Card,31/07/2023,16:52:35,returned
TXN897531,CUST9201,Indrans Khalsa,35,Female,P1978,Fruits,Groceries,1,535,Cash,26/02/2023,10:01:53,cancelled
TXN231506,CUST4053,Seher Randhawa,59,Female,P3770,Dining Table,Furniture,3,633,EMI,08/07/2023,0:23:48,cancelled
TXN204817,CUST1814,Yashvi Lad,57,M,P5660,Tablet,Electronics,1,183,Debit Card,13/05/2023,13:05:42,delivered
TXN237735,CUST6393,Jayan Chaudhuri,23,F,P6468,T-Shirt,Clothing,4,12640,Debit Card,11/10/2023,7:53:37,delivered
TXN628967,CUST1619,Anahi Tak,31,Female,P4468,Magazine,Books,5,8125,UPI,16/01/2023,0:35:55,cancelled
TXN872039,CUST1442,Adira Desai,24,Female,P8521,Wardrobe,Furniture,5,10405,Debit Card,07/01/2023,14:40:02,cancelled
TXN737152,CUST1003,Mahika Saini,35,Male,P3228,Bed,Furniture,4,13332,CC,14/10/2023,20:59:58,pending
TXN966502,CUST7879,Sana Mahal,44,M,P2288,Wheat,Groceries,2,6012,CC,16/09/2023,16:25:58,returned
TXN681600,CUST8970,Alia Kala,42,F,P7047,T-Shirt,Clothing,4,1944,Cash,28/05/2023,6:30:28,returned
TXN124724,CUST5111,Anvi Balakrishnan,51,F,P9795,Belt,Accessories,4,12104,Cash,23/07/2023,13:36:00,pending
TXN935609,CUST5990,Divij Mahal,22,Female,P9969,Smartwatch,Electronics,5,22790,UPI,12/06/2023,8:00:50,pending
TXN181241,CUST9012,Raunak Dugar,23,F,P6313,Headphones,Electronics,5,23225,UPI,09/08/2023,7:52:47,cancelled
,,,,,P4524,T-Shirt,Clothing,4,14788,,,,
TXN857036,CUST3128,Tanya Banik,50,F,P5156,Sofa,Furniture,4,13192,EMI,16/04/2023,4:01:42,delivered
TXN679691,CUST9725,Dhanush Salvi,30,M,P5385,Magazine,Books,1,4583,Credit Card,22/01/2023,11:03:35,delivered
TXN250926,CUST5974,Shanaya Mane,50,Male,P1162,Fruits,Groceries,4,9104,Cash,10/09/2023,9:32:43,delivered
TXN710436,CUST3454,Aradhya Chandra,41,Male,P1611,Novel,Books,3,11454,CC,12/11/2023,6:49:38,returned
TXN296847,CUST5513,Uthkarsh Aurora,37,F,P3721,Chair,Furniture,5,8070,UPI,08/02/2023,7:32:04,returned
TXN848781,CUST1176,Kartik Chakraborty,39,M,P4949,Handbag,Accessories,1,226,CC,18/05/2023,10:39:53,delivered
TXN457155,CUST6817,Uthkarsh Dugar,29,F,P8749,Smartphone,Electronics,5,20595,Credit Card,10/11/2023,8:52:24,pending
TXN571146,CUST7305,Abram Bhagat,52,Male,P5821,Shirt,Clothing,5,3555,UPI,27/02/2023,20:18:54,pending
TXN687762,CUST6180,Umang Mangal,56,Male,P4049,T-Shirt,Clothing,5,12325,Debit Card,07/05/2023,16:23:06,cancelled
TXN148287,CUST2129,Trisha Shah,47,Female,P8035,Chair,Furniture,4,16644,EMI,14/02/2023,15:32:10,delivered
TXN808333,CUST7134,Madhav Vora,59,M,P2839,Notebook,Books,1,1810,UPI,14/04/2023,12:20:22,delivered
TXN843333,CUST3707,Zain Randhawa,57,Female,P5445,Smartphone,Electronics,4,14664,Credit Card,06/07/2023,11:02:37,delivered
TXN358463,CUST7752,Nayantara Ben,51,Female,P2212,Shirt,Clothing,2,3550,UPI,01/01/2024,16:58:15,delivered
TXN603432,CUST5410,Onkar Devan,44,M,P4052,Bed,Furniture,5,9205,EMI,21/04/2023,22:07:08,pending
TXN979376,CUST7228,Saira Ahluwalia,60,M,P7373,Wallet,Accessories,2,424,EMI,25/05/2023,11:09:48,returned
TXN462625,CUST7485,Lagan Sehgal,23,F,P2841,Smartwatch,Electronics,1,232,Credit Card,31/03/2023,3:29:20,pending
TXN544255,CUST3826,Manikya Walia,57,Female,P4119,Smartphone,Electronics,2,7306,Credit Card,18/03/2023,2:04:19,pending
TXN553735,CUST9494,Ehsaan Ram,25,M,P3115,Handbag,Accessories,2,4220,Debit Card,22/11/2023,11:21:36,cancelled
TXN445517,CUST7427,Zeeshan Barad,51,Male,P2727,Handbag,Accessories,3,8388,EMI,03/08/2023,5:56:21,returned
TXN811729,CUST9221,Anahita Shenoy,46,F,P8872,Magazine,Books,5,18875,UPI,04/04/2023,20:05:05,pending
TXN841299,CUST1795,Prerak Bahri,19,Male,P8683,Sweater,Clothing,1,1666,Debit Card,14/12/2023,11:06:44,pending
TXN531956,CUST3099,Jiya Goyal,54,F,P1749,Bed,Furniture,2,8576,CC,05/01/2023,4:25:46,cancelled
TXN240646,CUST5356,Renee Kant,37,Female,P4193,Textbook,Books,2,9770,UPI,23/09/2023,11:43:16,cancelled
TXN973015,CUST1780,Ira Rastogi,27,Female,P8796,Headphones,Electronics,3,8016,Cash,17/09/2023,13:26:04,cancelled
TXN104509,CUST2976,Ranbir Kale,39,Female,P2312,Watch,Accessories,3,14616,UPI,26/11/2023,22:19:21,cancelled
TXN877665,CUST6949,Priyansh Kakar,31,F,P1432,Chair,Furniture,5,1525,Debit Card,02/06/2023,14:04:09,pending
TXN667094,CUST3787,Taran Andra,19,F,P9892,Watch,Accessories,2,2330,UPI,16/12/2023,9:12:43,pending
TXN608286,CUST4738,Aayush Chandra,30,Male,P9170,Sweater,Clothing,3,11433,UPI,21/07/2023,19:08:57,returned
TXN289575,CUST2547,Dhanuk Dani,23,M,P7162,Belt,Accessories,1,1204,Credit Card,22/08/2023,2:27:01,returned
TXN874466,CUST6701,Indrans Mani,34,Female,P5153,Comics,Books,4,5788,Debit Card,21/10/2023,15:39:37,cancelled
TXN240646,CUST5356,Renee Kant,37,Female,P4193,Textbook,Books,2,9770,UPI,23/09/2023,11:43:16,cancelled
TXN572520,CUST8408,Shanaya Basak,23,Male,P2211,Shirt,Clothing,5,7695,UPI,15/11/2023,14:36:18,cancelled
TXN132039,CUST3080,Gokul Mangal,37,F,P4546,Smartwatch,Electronics,3,14352,EMI,18/03/2023,10:08:59,cancelled
TXN776296,CUST1383,Zoya Bhardwaj,36,Male,P5880,Notebook,Books,5,21420,CC,16/09/2023,22:54:01,delivered
TXN996963,CUST2442,Trisha Sarma,38,Female,P6587,Sofa,Furniture,1,1550,Cash,17/11/2023,8:45:49,cancelled
TXN334216,CUST5469,Shanaya Bhatnagar,58,F,P5854,Vegetables,Groceries,2,1450,UPI,28/11/2023,6:48:10,returned
TXN964811,CUST5819,Tanya Vora,44,Male,P4613,T-Shirt,Clothing,4,19448,Credit Card,19/09/2023,4:24:46,returned
TXN151502,CUST7922,Sara Shanker,31,Male,P7467,T-Shirt,Clothing,4,8148,EMI,23/08/2023,18:38:34,pending
TXN147537,CUST2976,Ranbir Kale,39,Female,P5393,Novel,Books,5,18215,CC,28/11/2023,5:13:50,returned
TXN194369,CUST7367,Anaya Talwar,51,Male,P1076,Headphones,Electronics,5,18280,Credit Card,30/03/2023,9:17:02,cancelled
TXN957192,CUST6325,Vanya Buch,46,M,P8616,Textbook,Books,4,4692,Cash,03/07/2023,11:58:44,returned
TXN838135,CUST6009,Arhaan Choudhary,48,Female,P8234,Dining Table,Furniture,3,8481,CC,08/10/2023,21:25:00,pending
TXN196730,CUST2370,Suhana Raju,51,M,P4946,Tablet,Electronics,5,8080,Debit Card,08/04/2023,21:53:37,pending
TXN951206,CUST3434,Nitara Chana,50,Female,P3524,Fruits,Groceries,2,4754,Cash,28/07/2023,20:09:15,returned
TXN621035,CUST4609,Seher Solanki,22,M,P2983,Wallet,Accessories,5,4180,Debit Card,22/07/2023,19:27:43,cancelled
TXN964140,CUST1580,Dhanuk Deep,41,Male,P2638,Smartphone,Electronics,4,9176,Debit Card,08/07/2023,17:17:17,pending
TXN945678,CUST5419,Nitara Ahuja,57,M,P3503,Sofa,Furniture,2,7004,Credit Card,04/10/2023,2:09:25,returned
TXN763432,CUST8315,Indrajit Shanker,39,Male,P8484,T-Shirt,Clothing,4,9228,Credit Card,20/11/2023,22:10:35,cancelled
TXN268168,CUST9877,Neelofar Raman,27,Female,P3545,Magazine,Books,5,20295,UPI,05/04/2023,0:15:01,pending
TXN554548,CUST4649,Sana Issac,20,M,P6861,Wheat,Groceries,4,18604,EMI,22/05/2023,3:36:49,returned
TXN687806,CUST1982,Prisha Rama,19,Female,P6370,Vegetables,Groceries,4,9572,Debit Card,22/01/2023,21:04:44,cancelled
TXN712396,CUST7985,Prisha Rastogi,40,M,P5009,Sunglasses,Accessories,2,6406,Debit Card,21/05/2023,20:41:07,pending
TXN244649,CUST3260,Aaryahi Bandi,45,Female,P3068,Fruits,Groceries,2,9540,EMI,07/08/2023,5:34:55,pending
TXN306965,CUST3356,Arhaan Lala,56,Male,P1305,Wallet,Accessories,3,4617,EMI,03/04/2023,10:53:17,returned
TXN340418,CUST7216,Indrajit Johal,20,F,P2277,Sweater,Clothing,5,18315,EMI,22/08/2023,18:13:51,pending
TXN468585,CUST7843,Mehul Saraf,24,Female,P2302,Sweater,Clothing,3,3897,CC,12/08/2023,13:13:31,cancelled
TXN432990,CUST8438,Anahita Desai,33,F,P5214,Dining Table,Furniture,5,24805,Cash,29/11/2023,22:06:56,cancelled
TXN799065,CUST4410,Akarsh Tara,35,M,P7017,Smartphone,Electronics,4,14288,EMI,28/09/2023,5:43:08,pending
TXN626832,CUST6654,Keya Keer,39,Female,P6475,Magazine,Books,4,6536,Debit Card,06/07/2023,19:37:03,delivered
TXN856961,CUST6473,Indranil Talwar,31,Male,P6078,Bed,Furniture,1,2306,Credit Card,16/08/2023,12:10:03,pending
TXN615393,CUST8364,Advika Subramaniam,44,Male,P7571,Wardrobe,Furniture,2,5096,Debit Card,08/03/2023,22:34:32,pending
TXN534950,CUST8831,Shlok Dhingra,35,Female,P7690,Novel,Books,2,362,EMI,20/02/2023,8:31:41,cancelled
TXN818041,CUST2698,Ishita Chander,45,F,P6585,Comics,Books,1,3585,Cash,30/05/2023,1:31:11,returned
TXN281411,CUST6946,Inaaya  Rege,29,Female,P4983,Sweater,Clothing,5,17105,UPI,27/10/2023,6:41:58,delivered
TXN395626,CUST5926,Urvi Ram,55,M,P9656,Sunglasses,Accessories,1,946,Debit Card,06/11/2023,2:47:24,returned
TXN493178,CUST5865,Ira Bora,39,Male,P2070,Magazine,Books,3,11319,Debit Card,13/10/2023,3:09:21,pending
TXN469013,CUST5616,Emir Swaminathan,18,F,P6265,Vegetables,Groceries,3,11208,Debit Card,31/07/2023,2:54:21,delivered
TXN435224,CUST2499,Advika Chaudhry,59,Male,P8495,Magazine,Books,1,2781,UPI,15/09/2023,6:06:54,pending
TXN962432,CUST9993,Heer Bhatia,47,Female,P4205,Dining Table,Furniture,4,12768,EMI,19/06/2023,16:12:44,delivered
TXN773393,CUST6386,Anya Sodhi,28,M,P4863,Wallet,Accessories,4,13704,Debit Card,18/02/2023,8:45:14,returned
TXN182046,CUST6422,Indrans Sane,52,Male,P8684,Bed,Furniture,4,17308,EMI,01/02/2023,13:02:17,cancelled
TXN149963,CUST2672,Oorja Dada,31,M,P9058,Laptop,Electronics,5,16925,Credit Card,19/01/2023,9:16:14,delivered
TXN594288,CUST7617,Anahita Master,47,F,P9632,Vegetables,Groceries,5,5195,Credit Card,14/05/2023,11:26:52,pending
TXN572375,CUST6378,Kanav Choudhry,24,F,P7102,Belt,Accessories,2,5872,UPI,16/06/2023,13:51:41,pending
TXN245736,CUST1928,Mehul Brar,25,M,P7442,Wallet,Accessories,1,3662,CC,10/04/2023,12:00:18,cancelled
TXN119892,CUST1702,Eva Bera,35,M,P9849,Comics,Books,5,10525,Cash,02/08/2023,5:10:02,delivered
TXN731763,CUST2544,Ryan Shah,50,M,P4267,Smartwatch,Electronics,2,1714,CC,09/06/2023,4:58:17,cancelled
TXN432798,CUST1003,,,,P5717,Dining Table,Furniture,3,2346,EMI,30/04/2023,5:46:48,cancelled
TXN718937,CUST2976,Ranbir Kale,39,Female,P5145,Jeans,Clothing,5,9290,EMI,22/11/2023,7:57:10,pending
TXN143663,CUST8285,Shray Gaba,47,F,P4622,Vegetables,Groceries,1,789,Cash,14/01/2023,3:10:23,delivered
TXN857531,CUST4926,Anya Rama,58,Male,P6219,Bed,Furniture,2,5916,EMI,29/03/2023,1:59:56,delivered
TXN992566,CUST1442,Adira Desai,24,Female,P9169,Watch,Accessories,1,4533,Cash,25/04/2023,20:27:40,pending
TXN756468,CUST1818,Kismat Kamdar,52,Male,P7268,Shirt,Clothing,4,11688,Debit Card,08/11/2023,7:14:52,cancelled
TXN336972,CUST8087,Charvi Devi,45,F,P5840,Textbook,Books,1,2941,Debit Card,20/04/2023,5:15:46,returned
TXN768303,CUST7654,Mamooty Arya,52,M,P5573,Sweater,Clothing,2,4976,UPI,18/01/2023,16:48:26,pending
TXN129013,CUST5353,Dishani Thakur,52,Male,P2651,Bed,Furniture,3,8133,Debit Card,23/01/2023,14:36:50,returned
TXN332090,CUST2300,Jiya Sahota,34,Male,P8545,Belt,Accessories,3,645,CC,25/06/2023,19:03:32,returned
TXN444785,CUST2458,Abram Tiwari,57,Female,P2639,Headphones,Electronics,2,288,Credit Card,22/04/2023,23:59:46,cancelled
TXN264059,CUST7427,Zeeshan Barad,51,Male,P9109,Tablet,Electronics,4,4528,Credit Card,21/07/2023,8:36:38,returned
TXN991382,CUST7920,Ayesha Bassi,51,Male,P5829,Dining Table,Furniture,1,3210,EMI,23/04/2023,10:53:35,pending
TXN151421,CUST5865,Ira Bora,39,Male,P3052,Comics,Books,5,23640,Credit Card,15/01/2023,1:23:59,pending
TXN132221,CUST5215,Samaira Sarma,24,Female,P7845,Wallet,Accessories,5,19005,Debit Card,18/08/2023,9:01:26,returned
TXN696379,CUST1732,Kabir Sanghvi,35,Female,P9253,Comics,Books,2,592,UPI,22/12/2023,8:11:29,cancelled
TXN669823,CUST2363,Inaaya  Zachariah,41,F,P4165,Bed,Furniture,2,5456,Credit Card,23/06/2023,15:27:06,pending
TXN674350,CUST6970,Sara De,51,M,P8188,Smartphone,Electronics,2,1350,Credit Card,18/12/2023,18:40:41,pending
TXN243318,CUST7879,Sana Mahal,44,M,P3928,Bed,Furniture,1,3397,Cash,14/08/2023,18:08:24,delivered
TXN930317,CUST4260,Anaya Behl,25,Female,P4226,Sweater,Clothing,2,8252,CC,16/12/2023,10:22:09,cancelled
TXN178306,CUST1109,Ranbir Sane,46,Female,P7049,Laptop,Electronics,1,3728,CC,02/08/2023,12:46:18,pending
TXN891863,CUST4879,Indranil Bajwa,34,M,P8337,Laptop,Electronics,1,1247,CC,20/02/2023,20:09:53,cancelled
TXN374844,CUST2042,Veer Aurora,27,F,P5442,Vegetables,Groceries,3,7476,Debit Card,14/04/2023,8:10:19,returned
TXN749507,CUST9741,Armaan Chahal,30,Male,P7210,Notebook,Books,1,4979,UPI,25/05/2023,21:27:50,cancelled
TXN264707,CUST5979,Mehul Mall,38,M,P7674,Dining Table,Furniture,3,11478,Debit Card,12/03/2023,0:24:52,delivered
TXN602834,CUST1109,Ranbir Sane,46,Female,P1769,Wheat,Groceries,5,17945,UPI,27/01/2023,9:42:03,cancelled
TXN638680,CUST2351,Vedika Choudhry,29,F,P9906,Jeans,Clothing,4,2672,Cash,08/12/2023,10:38:22,cancelled
TXN563226,CUST3051,Prerak Walla,37,Female,P3933,Wallet,Accessories,2,7724,UPI,14/04/2023,16:24:16,delivered
TXN650789,CUST8364,Advika Subramaniam,44,Male,P2300,Jacket,Clothing,1,1896,Cash,27/03/2023,5:01:54,cancelled
TXN149455,CUST2469,Tushar Subramanian,30,Female,P8478,Smartphone,Electronics,2,3662,Debit Card,22/01/2023,10:37:13,cancelled
TXN594956,CUST6180,Umang Mangal,56,Male,P2242,Headphones,Electronics,4,13236,Debit Card,02/06/2023,15:57:25,pending
TXN836987,CUST7920,Ayesha Bassi,51,Male,P7345,Jeans,Clothing,3,8112,EMI,15/08/2023,16:10:32,returned
TXN369143,CUST7973,Saira Khare,23,Male,P9575,Jacket,Clothing,1,1187,EMI,28/09/2023,7:08:35,returned
TXN448895,CUST9552,Siya Saini,18,M,P5602,Belt,Accessories,3,1692,Debit Card,04/12/2023,15:53:59,cancelled
TXN821427,CUST7277,Onkar Sachdeva,37,Male,P3537,Notebook,Books,4,7852,Cash,25/07/2023,2:43:50,pending
TXN990731,CUST5696,Hiran Koshy,46,M,P8379,Jacket,Clothing,1,2823,Debit Card,05/04/2023,7:57:43,returned
TXN345551,CUST1932,Indranil Shah,58,Male,P6745,Smartwatch,Electronics,2,7354,CC,19/03/2023,22:35:45,delivered
TXN896430,CUST3359,Dhanuk Subramanian,41,F,P8567,Bed,Furniture,2,7350,Credit Card,20/02/2023,7:50:34,returned
TXN777051,CUST4747,Krish Srinivasan,23,Male,P2198,Jeans,Clothing,1,2766,Debit Card,01/09/2023,13:12:46,returned
TXN730654,CUST7372,Advik Sheth,27,Male,P2495,Tablet,Electronics,2,9160,EMI,30/08/2023,7:44:31,cancelled
TXN703592,CUST6396,Jayan Vasa,56,M,P7368,Fruits,Groceries,3,4641,Debit Card,14/06/2023,19:33:12,pending
TXN713001,CUST2113,Anahita Vaidya,44,F,P1995,Sweater,Clothing,3,5235,CC,03/10/2023,18:32:17,cancelled
TXN764066,CUST3080,Gokul Mangal,37,F,P5582,Notebook,Books,5,24575,UPI,03/03/2023,4:43:42,pending
TXN204779,CUST4244,Devansh Bajwa,53,Female,P8381,Laptop,Electronics,2,6108,UPI,06/05/2023,14:04:43,cancelled
TXN179947,CUST7752,Nayantara Ben,51,Female,P7738,T-Shirt,Clothing,3,7989,CC,18/05/2023,23:48:18,pending
TXN286105,CUST3880,Parinaaz Subramanian,33,Male,P5311,Jeans,Clothing,2,4118,Cash,05/08/2023,16:55:41,returned
TXN470607,CUST7531,Samaira Jani,29,M,P9727,Notebook,Books,2,9016,Cash,29/11/2023,20:38:25,delivered
TXN625050,CUST9661,Divyansh Bhargava,31,Female,P3242,Sofa,Furniture,2,9818,EMI,03/12/2023,13:42:57,returned
TXN187754,CUST2836,Tejas Master,57,Male,P1122,Milk,Groceries,5,10040,CC,17/04/2023,13:06:46,pending
TXN322611,CUST7138,Samiha Chadha,49,Female,P8201,Smartphone,Electronics,1,2268,Debit Card,04/01/2023,11:42:41,cancelled
TXN816872,CUST3291,Mannat Contractor,33,Male,P7145,Jacket,Clothing,5,17180,Credit Card,20/07/2023,3:55:09,pending
TXN605796,CUST2443,Rania Sekhon,54,Male,P2054,Milk,Groceries,4,5008,EMI,10/03/2023,23:58:01,returned
TXN790039,CUST7843,Mehul Saraf,24,Female,P7263,Shirt,Clothing,4,1780,Cash,01/01/2023,22:32:38,pending
TXN477722,CUST1799,Damini Bhalla,38,M,P1474,Headphones,Electronics,3,9831,Cash,03/04/2023,14:21:14,delivered
TXN339719,CUST4599,Tarini Sethi,48,M,P6576,Belt,Accessories,2,6778,Credit Card,24/01/2023,9:43:08,returned
TXN519116,CUST2506,Hiran Mand,56,Female,P7523,Smartwatch,Electronics,4,1908,Debit Card,02/06/2023,9:31:06,pending
TXN163021,CUST1985,Rhea Manda,45,Female,P9783,Comics,Books,4,9332,Credit Card,15/06/2023,17:50:12,delivered
TXN212160,CUST2731,Arhaan Chakrabarti,37,Male,P2000,Sweater,Clothing,3,891,Debit Card,06/11/2023,0:23:50,pending
TXN183283,CUST1155,Eva Sathe,26,Male,P9243,Milk,Groceries,2,5074,Debit Card,07/05/2023,4:03:24,pending
TXN536867,CUST2659,Divyansh Dhar,39,Male,P7328,Comics,Books,2,8482,UPI,15/03/2023,16:14:39,delivered
TXN217224,CUST7853,Amani Tandon,28,Male,P4844,Novel,Books,3,13953,Debit Card,25/05/2023,17:00:36,cancelled
TXN298932,CUST6537,Hiran Tripathi,60,Male,P4295,Jeans,Clothing,4,9348,Credit Card,13/01/2023,11:02:07,cancelled
TXN564259,CUST5470,Anika Iyer,31,F,P6743,Milk,Groceries,3,10701,CC,07/03/2023,15:20:23,delivered
TXN849761,CUST4637,Armaan De,18,Male,P2533,Shirt,Clothing,1,4441,Credit Card,08/08/2023,20:05:40,returned
TXN582017,CUST9671,Mishti Bakshi,41,F,P8817,Rice,Groceries,4,10516,Debit Card,05/02/2023,5:36:07,pending
